contact_pair	end2	region1	region2	pixel_size	chrom2	chrom1	start2	dist_from_diag	end1	start1	Sample	value	Patient	Celltype
(('chr1', 18630000, 18640000), ('chr1', 24930000, 24940000))	24940000	('chr1', 18630000, 18640000)	('chr1', 24930000, 24940000)	100000000	chr1	chr1	24930000	6300000.0	18640000	18630000	3M_NeuN-	0.9536120354726427	3M	NeuN-
(('chr1', 18630000, 18640000), ('chr1', 44410000, 44420000))	44420000	('chr1', 18630000, 18640000)	('chr1', 44410000, 44420000)	100000000	chr1	chr1	44410000	25780000.0	18640000	18630000	3M_NeuN-	0.7924558449739596	3M	NeuN-
(('chr1', 18630000, 18640000), ('chr1', 47230000, 47240000))	47240000	('chr1', 18630000, 18640000)	('chr1', 47230000, 47240000)	100000000	chr1	chr1	47230000	28600000.0	18640000	18630000	3M_NeuN-	2.228069316963434	3M	NeuN-
(('chr1', 18630000, 18640000), ('chr1', 47430000, 47440000))	47440000	('chr1', 18630000, 18640000)	('chr1', 47430000, 47440000)	100000000	chr1	chr1	47430000	28800000.0	18640000	18630000	3M_NeuN-	2.259856913068005	3M	NeuN-
(('chr1', 18630000, 18640000), ('chr1', 47710000, 47720000))	47720000	('chr1', 18630000, 18640000)	('chr1', 47710000, 47720000)	100000000	chr1	chr1	47710000	29080000.0	18640000	18630000	3M_NeuN-	1.615212114733701	3M	NeuN-
(('chr1', 18630000, 18640000), ('chr1', 50420000, 50430000))	50430000	('chr1', 18630000, 18640000)	('chr1', 50420000, 50430000)	100000000	chr1	chr1	50420000	31790000.0	18640000	18630000	3M_NeuN-	1.1529812671067061	3M	NeuN-
(('chr1', 18630000, 18640000), ('chr17', 48500000, 48640000))	48640000	('chr1', 18630000, 18640000)	('chr17', 48500000, 48640000)	1400000000	chr17	chr1	48500000	29935000.0	18640000	18630000	3M_NeuN-		3M	NeuN-
(('chr1', 18630000, 18640000), ('chr17', 79780000, 79800000))	79800000	('chr1', 18630000, 18640000)	('chr17', 79780000, 79800000)	200000000	chr17	chr1	79780000	61155000.0	18640000	18630000	3M_NeuN-		3M	NeuN-
(('chr1', 24930000, 24940000), ('chr1', 44410000, 44420000))	44420000	('chr1', 24930000, 24940000)	('chr1', 44410000, 44420000)	100000000	chr1	chr1	44410000	19480000.0	24940000	24930000	3M_NeuN-	0.7870533088728435	3M	NeuN-
(('chr1', 24930000, 24940000), ('chr1', 47230000, 47240000))	47240000	('chr1', 24930000, 24940000)	('chr1', 47230000, 47240000)	100000000	chr1	chr1	47230000	22300000.0	24940000	24930000	3M_NeuN-	0.7738327311176965	3M	NeuN-
